id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,neighbourhood_normalized,zip_code,31-12-2023,31-03-2024,30-06-2024
25687574,Modern Chicago Home Away from Home,168443062,Jessica,Bridgeport,41.84473,-87.63945,Entire home/apt,,2,88,1,48,18,bridgeport,60616,198,198,234
25714121,B6-6- Next to Downtown Tiny Private Room,109075524,Lynn,Near West Side,41.87572,-87.67888,Private room,,1,66,7,181,34,near west side,60612,23,29,36
25718568,Private Garden Level Bedroom,151427928,William & Naudra L.,South Chicago,41.746983,-87.571312,Private room,,32,23,1,171,0,south chicago,60617,69,69,69
25770575,The Woodlawn Grey  - Large 3bd/3ba Apt by UChicago,57327044,Latrice,Woodlawn,41.77962,-87.60265,Entire home/apt,,2,95,1,130,25,woodlawn,97211,155,155,176
25786977,Private Bedroom in Medical District,50610697,Keri Terrell,Near West Side,41.8723,-87.68509,Private room,,20,12,1,33,3,near west side,60612,68,33,33
25802231,Designer 3br with Balcony & Elevator on Clark!,192743804,Fenton,Uptown,41.96232,-87.665762,Entire home/apt,,1,231,3,342,20,uptown,92103,95,95,95
25808833,"Penthouse Level, Stunning Wrigley Stay",42518018,M J,Lake View,41.94472,-87.65031,Entire home/apt,,2,99,4,337,7,lake view,60657,284,231,280
25861262,"Avondale Gem: 2BR, Stylish Kitchen, Transit Nearby",194299805,Shaun,Avondale,41.934468,-87.718435,Entire home/apt,,1,242,2,138,39,avondale,95824,90,75,93
25892484,Chicago’s Dickens Place a trendy centralized flat,77183388,Al & Mary,Logan Square,41.91915,-87.71338,Entire home/apt,,2,190,2,181,27,logan square,19103,138,127,143
25894475,The Banksy-Greystone Rooftop Firepit United Center,36760167,Robert,Near West Side,41.87691,-87.68536,Entire home/apt,,2,273,2,0,18,near west side,60612,107,153,383.3921569
25895701,Whole apartment! 2 Bed/2 bath steps from Wrigley!!,2471877,Michael,Lake View,41.94739,-87.65251,Entire home/apt,,2,79,1,290,39,lake view,60657,278,150,299
25920781,Near 606 Trail | Free Garage Parking | W&D |LUXTEL,130502086,Yolanda,Hermosa,41.91392,-87.72579,Entire home/apt,,2,119,3,107,15,hermosa,60639,199,229,179
25944899,Rose of Roscoe,195015117,Brenda,Lake View,41.93712,-87.67301,Entire home/apt,,2,52,2,48,7,lake view,60657,318,289,384
25973068,BuckTown Super Space,191156752,John,West Town,41.91064,-87.67519,Entire home/apt,,32,11,4,24,1,west town,60612,84,85,312.7021277
25984142,"★★★Charming 2BR near downtown, +FREE parking★★★",151133847,Candace,West Town,41.89355,-87.6621,Entire home/apt,,3,182,1,296,28,west town,60612,113,92,175
26029969,"Huge Sunlit Gem, Free Parking, No Cleaning Fee",26535257,Leigh,Lake View,41.93731,-87.65372,Entire home/apt,,5,100,1,326,12,lake view,60657,649,289,393
26034464,Susie's Space. 2BR easy parking & pet friendly,17657217,Susan,Avondale,41.93291,-87.69085,Entire home/apt,,2,307,1,36,53,avondale,95824,149,170,180
26039928,Garden Unit Getaway-Bucktown,188795199,Keith,Logan Square,41.91803,-87.68115,Entire home/apt,,1,76,1,122,42,logan square,19103,154,158,189
26111681,1 #12 - 2 Bedroom 1 Bath Condo - McCormick Place,178710732,Annie,Armour Square,41.85331,-87.63321,Entire home/apt,,2,112,18,198,23,armour square,60616,156,160,199
26138093,♥ 3BR/2.5 BA House + Roof Deck in Wicker Park  ♥,5312983,Christopher,West Town,41.90989,-87.6898,Entire home/apt,,3,50,1,166,5,west town,60612,570,336,756
26198663,Quiet room near McCormick- for women,196906001,Addie And Boon,Douglas,41.82922,-87.61972,Private room,,1,80,1,0,9,douglas,60616,53,79.71428571,144.0526316
26221841,Top Floor. Private Bathroom. Ideal Location!,24970476,Jeff,Uptown,41.95562,-87.65335,Private room,,2,79,2,4,20,uptown,92103,79,85,95
26234572,Cozy Basement Studio (Galewood) near Oak Park,25553049,Emily And Eric,Austin,41.91341,-87.79084,Entire home/apt,,2,102,2,314,12,austin,60639,120,120,120
26253486,Private room(s) at a great home in Little Italy .,22507060,Gerardo,Near West Side,41.86875,-87.6611,Private room,,2,77,1,2,9,near west side,60612,102,99,64
26296254,Ideal location w easy parking. Quiet 2-bedroom.,127727500,Yusif,Logan Square,41.92131,-87.68675,Entire home/apt,,32,14,1,180,0,logan square,19103,229,229,229
26324097,Charming Logan Square Coach House,56501186,Daniel,West Town,41.91098,-87.69855,Entire home/apt,,3,53,1,27,14,west town,60612,125,125,126
26337715,Behind the Beaten Path,185912680,Julia,Humboldt Park,41.9026,-87.70854,Entire home/apt,,32,140,1,135,2,humboldt park,60651,83,80,82
26370161,NEW SLEEK 1 BEDROOM GREAT LOCATION by WholeFoods,3965428,Dominic,Near North Side,41.89144,-87.61696,Entire home/apt,,150,0,55,365,0,near north side,60610,164,164,164
26402837,"Cozy private room /Blue Line ,Metra train /",40425145,Grace,Irving Park,41.95774,-87.72984,Private room,,35,27,2,364,0,irving park,60618,55,55,55
26476402,A Stones Throw from U Chicago South Campus!,65247752,Luke,Woodlawn,41.78477,-87.60005,Entire home/apt,,3,202,1,185,46,woodlawn,97211,119,119,139
26500795,Cozy Ukrainian Village Two Bedroom Apartment,5228189,Matthew,West Town,41.89833,-87.6934,Entire home/apt,,2,209,21,345,23,west town,60612,86,116,156
26566001,SuperHost Downtown Apartment w/ Amenities,3965428,Dominic,Near North Side,41.89758,-87.62173,Entire home/apt,,32,6,55,323,0,near north side,60610,130,95,180
26579870,Clean & Sanitized - Perfect Wrigleyville Stay,42518018,M J,Lake View,41.94472,-87.65031,Entire home/apt,,2,81,4,157,9,lake view,60657,284,231,305
26638174,Al's Oasis Chicago,195024981,Al,Irving Park,41.94856,-87.70343,Private room,,2,165,1,304,28,irving park,60618,80,91,92
26700761,Ukrainian Village 3 Bedroom Apartment,156756068,Larissa,West Town,41.9001503,-87.68174744,Entire home/apt,,3,91,2,206,14,west town,60612,200,200,204
26713916,Insta Worthy Prime Spot *Patio *Parking *Fireplace,41862889,Alexandra,Near North Side,41.9106,-87.63893,Entire home/apt,,2,203,3,298,27,near north side,60610,365,302,512
26783351,Chicago (Upscale Neighborhood) Multi-Unit Estate,48907908,Lupe,Irving Park,41.95855,-87.73138,Entire home/apt,,3,45,1,297,7,irving park,60618,369,369,386
26785909,Artsy Chicago Abode: Steps to Shops & Restaurants,188390381,Tyler,West Town,41.91013,-87.66673,Entire home/apt,,1,67,1,359,21,west town,60612,89,89,89
26804834,Retreat to a 3 bedroom Apt w/in Stylish Brownstone,4434,Kellen,Douglas,41.83313,-87.61951,Entire home/apt,,2,81,1,60,16,douglas,60616,113,164,204
